ID,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15
P001,-0.607975246,0.331753961,0.490100356,1.788188392,-0.557028878,-0.079607068,-1.162529426,-0.513102491,0.051022275,-1.024525679,1.115669727,0.494709684,0.189179427,-0.469728318,-0.403009499,-0.445265976
P002,-1.099054374,0.515152262,-0.220071611,1.10769495,0.347443497,0.216101904,-1.539655386,-0.584568016,-0.10142227,0.195528038,0.529620971,0.367529446,-0.476743097,1.048214527,-0.465100564,0.624127667
P003,-1.128722605,1.349571424,-0.862491934,-1.071361699,1.242583784,0.714543631,2.130046382,1.953416463,0.773161851,0.977483561,0.543596315,-0.266019061,-0.320195838,1.105185987,1.025862499,2.297682489
P004,-0.508702072,-0.222531008,0.870386185,-2.120661557,-0.999438096,0.071449011,1.07872267,0.04257533,0.589733778,-0.494637293,0.415937444,-1.504483275,1.178878101,0.754638436,-0.259615205,0.048181767
P005,1.011095191,-0.253031209,-0.029170616,-0.106163986,-1.198294355,1.722714135,1.299936571,0.511153516,-0.187217964,0.270039868,0.531303958,1.54547943,-0.906903026,-0.492540028,0.102412476,-0.080825649
P006,0.054963834,-1.461253246,-0.269394319,-1.603522854,0.59926581,0.147083563,0.632226857,-0.454011112,0.417299954,-0.835071642,-0.643822436,2.105412248,-0.422971036,-0.073315431,-0.390228438,-1.034073874
P007,0.107574532,-1.828254813,-0.041740647,0.964741643,-0.148872328,-0.836828754,-0.785699711,0.572167338,-0.588831752,0.382137733,0.381760213,-1.20195318,-2.920672238,-0.399567317,-1.067716732,-0.936443174
P008,-1.281632155,1.070976448,-0.89659094,-1.031798445,0.071899934,1.310159379,0.604679054,0.906581223,0.437835529,0.968680012,0.347594095,0.431358399,0.865876489,0.116205211,0.354543907,2.14931889
P009,0.137358536,2.105392879,3.441894347,3.551084797,0.707307813,3.261025393,3.319949098,-2.285213058,0.369594022,-0.623884047,1.230903113,-1.113426093,0.981784906,-0.605091061,-1.280315444,-0.125420254
P010,-0.911690434,-0.005599565,0.573426868,-0.233670605,-0.609260934,-0.571968045,-0.569604528,-0.741000299,-0.231762846,-2.096297669,-0.737526526,0.062238606,-1.490591911,1.798307595,0.66084944,-1.538125647
P011,1.75411969,1.817352469,1.23567115,2.125380735,-1.920833913,-2.20777655,0.604028642,3.250911224,-0.584492126,0.621964216,0.500575491,2.437212191,3.583404075,0.074817298,3.767963853,0.199475444
P012,1.997868332,1.600244437,-0.628715344,-0.14243423,-0.992638627,-0.86189056,0.271741044,-0.905430064,-0.581904328,-1.602865653,1.30186808,-0.43840805,-0.130798439,-2.770919842,1.986535443,2.13324413
P013,0.433822921,-1.496272329,0.195749221,1.697104686,-0.539565155,1.264563693,-0.426289668,1.19281743,-0.214409054,-0.610768789,-1.070137041,-0.814060842,-0.703202608,0.935742396,-0.238264327,0.579626469
P014,0.415098426,-1.120724291,0.127206532,0.579275323,-1.148373978,-0.721555189,1.057797573,-0.323976835,-1.228546648,3.273382799,0.03789389,-1.237118888,-0.215590471,0.124174404,-2.172409924,0.408638335
P015,0.315391581,-1.868900052,-0.583366388,0.589435651,0.229171195,0.355829224,-1.032471797,1.122647132,0.230872071,-0.289347293,-0.649525649,0.721825952,-0.449581871,1.560218983,-0.757129192,-1.137769605
P016,1.347772844,1.462537806,0.091951935,-0.142081193,-1.939366398,-0.532026779,-0.289216277,-0.897136917,-0.499484538,0.075232721,-3.318518229,-1.840744621,-0.346237928,-0.100005963,-1.485820945,0.98857284
P017,-1.026481561,0.000454015,0.06542539,-0.67408779,0.526993859,0.319412883,-1.05162836,-0.19378236,-0.177538533,-0.105047566,-1.426588574,0.748263686,1.699938599,0.759543326,-0.020050391,0.259919349
P018,0.88508222,-0.975066762,-1.474592234,0.389991296,1.009027772,-0.559625672,-0.436617283,-1.454288603,-1.714069194,1.241655073,-1.408916695,0.4928386,0.029301933,0.042585057,1.712339839,0.999386567
P019,1.060915799,-0.6134357,-1.88358137,-0.189526836,0.829192373,1.702715235,-0.437059272,0.207139815,-0.429730895,-2.859475308,-1.919331864,-0.320675078,0.548895222,-0.190659711,-0.858875879,-1.33322333
P020,-1.193707763,0.85831186,-0.846800756,0.003505568,0.705401875,-0.292943691,0.451310633,0.46443209,-0.737921358,0.084910119,0.817478,-1.336390291,0.126718505,-0.337574576,-0.515356824,0.186047725
P021,2.066916451,2.922038412,1.380435796,-0.496840491,-1.169470277,0.482003172,-0.884026286,0.334293101,-0.071973821,2.200971649,0.75823453,-1.012064207,-0.150687899,1.666898155,1.830004414,0.4356697
P022,0.269477056,0.571397523,1.357889207,-0.68526806,-0.457005722,-1.44831612,-0.90112051,0.294643012,-0.622633648,0.140390793,0.573582986,1.043285943,-1.303465404,0.357893707,-0.955779932,0.252782347
P023,-1.428473627,0.740576471,-1.502904841,1.78596161,-0.231230851,-1.391989414,0.218496161,-0.115829985,0.164117971,-0.642371836,0.179040549,0.38000948,-1.263672509,-0.509747766,-0.989737835,-1.717554795
P024,-0.2775927,-0.962516687,0.59491856,0.006262224,-1.727164292,0.327383137,-1.217735646,-0.017174633,-0.262744459,0.12378174,-1.316665823,-1.715724354,0.446978583,0.883022022,-0.642630577,1.564929264
P025,1.084332978,1.588375068,3.374535315,0.395828328,0.809579438,-0.889938675,0.703493272,3.631716447,2.261216823,1.723879174,-2.083658404,1.92237141,0.505603382,-1.814540601,-1.440804441,-0.76243589
P026,-0.888442062,0.612778152,-0.144198324,0.464209823,-0.133659078,1.067361979,-0.759767607,-0.303132083,-0.208634555,0.213947434,-0.611881069,0.921623365,1.374870803,-0.65975753,0.107851296,-0.600741996
P027,-0.629329354,-0.675373823,1.001054189,-1.913584306,0.570651166,-0.714653603,1.354187076,0.519283867,-1.10544991,-2.310038774,0.756906262,0.519518211,-1.12017686,0.360013251,0.191039629,-1.244219726
P028,-1.086783513,0.266468198,-0.189112927,0.257243619,-0.565387053,0.473002801,-0.553372964,-0.652647718,-1.25874427,-0.109137359,-1.230611417,-0.430052617,0.494101561,-1.035473886,0.713061181,-1.170385899
P029,1.791451409,0.926742865,0.565806807,-0.024968443,0.680346819,0.746304157,-0.460220214,2.053729398,0.6032874,-0.368473761,0.078314652,1.624095979,-1.30702579,-0.804956456,0.093129027,0.707136714
P030,-1.616929,0.840219205,-1.522801385,0.165863028,0.141422276,-1.156648945,0.701642156,0.80033298,1.170795038,-0.907132359,0.774494463,-1.335394757,-1.714318515,0.02630619,-0.363543672,0.093604867
